BARCODE,BRAND_CODE,CATEGORY,CATEGORY_CODE,NAME
511111700814,I CAN'T BELIEVE IT'S NOT BUTTER!,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,I CAN'T BELIEVE IT'S NOT BUTTER!
511111507079,BROOKS,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS,Brooks®
511111704096,CAMPBELLS,Canned Goods & Soups,CANNED_GOODS_AND_SOUPS,Campbell's
511111406785,PUKKA,Beverages,BEVERAGES,Pukka
511111201564,RUFFLES,Snacks,SNACKS,Ruffles
511111903789,,Snacks,SNACKS,Keebler
511111102106,JET PUFFED,Baking,BAKING,Jet-Puffed
511111103219,,,,Rice Krispies
511111103585,CINNAMON TOAST CRUNCH,Breakfast & Cereal,BREAKFAST_AND_CEREAL,Cinnamon Toast Crunch
511111503187,,,,Corn Pops
511111008941,GOOD CULTURE,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,GOOD CULTURE
511111709633,BUBBLE YUM,Candy & Sweets,CANDY_AND_SWEETS,Bubble Yum
511111108566,GREEN WORKS,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,Green Works®
511111307044,BIGS,Snacks,SNACKS,BIGS®
511111203278,,Snacks,SNACKS,Pringles
511111407010,BANQUET,Frozen,FROZEN,Banquet®
511111802129,JACK DANIEL'S BARBECUE,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Jack Daniel's
511111002871,POWERADE ZERO,Beverages,BEVERAGES,Powerade Zero
511111201847,T.G.I. FRIDAY'S,Frozen,FROZEN,TGI Fridays
511111901587,RICE-A-RONI,Grocery,GROCERY,Rice A Roni
511111107033,BERTOLLI,Frozen,FROZEN,Bertolli®
511111309963,MARINELA,Bread & Bakery,BREAD_AND_BAKERY,Marinela Sweet Baked Goods
511111002086,KOOL-AID,Beverages,BEVERAGES,Kool-Aid
511111503811,,,,Kemps
511111701903,WYLER'S,Grocery,GROCERY,Wyler's
511111606093,YOPLAIT,Dairy & Refrigerated,DAIRY_AND_REFRIGERATED,Yoplait
511111301974,NANCY'S,Frozen,FROZEN,Nancy's
511111701132,STOVE TOP,Grocery,GROCERY,Stove Top
511111207092,DAVID,Snacks,SNACKS,DAVID Seeds®
511111811565,WHATABURGER,Restaurants,RESTAURANTS,Whataburger
511111000679,TIGI,Personal Care,PERSONAL_CARE,TIGI
511111101895,A.1.,Condiments & Sauces,CONDIMENTS_AND_SAUCES,A.1.
511111909156,KIT KAT,Candy & Sweets,CANDY_AND_SWEETS,Kit Kat
511111202394,BAGEL BITES,Frozen,FROZEN,Bagel Bites
511111209133,JOLLY RANCHER,Candy & Sweets,CANDY_AND_SWEETS,Jolly Rancher
511111113188,RAGU,Condiments & Sauces,CONDIMENTS_AND_SAUCES,Ragu
